name,lon,lat
Tarnobrzeska,17.001593077926685,51.09338834688221
Kwaśna,17.0007533,51.09359155
Stalowowolska,16.999912935830096,51.09359695597968
Kolbuszowska,16.99819435007285,51.09380739997003
Inżynierska,16.995378525981007,51.09413647913339
Różana,16.9943874,51.0942292
Bzowa,16.99251893711561,51.09464720521543
Pierwiosnkowa,16.990724299999997,51.094773599999996
Budowlana,16.984419621181477,51.094353815073546
Oporowska,17.0015992,51.098401949999996
Połaniecka,17.002182105203932,51.09127852877947
Fiołkowa,16.97713967658326,51.092703756477036
Nasturcjowa,16.97604145,51.0937916
Altanowa,17.00472475,51.0952142
Wysoka,17.00931995506471,51.102517652843055
Plac Muzealny,17.02455130933091,51.10390174540685
Michała Bałuckiego,17.02790605,51.1032006
Świebodzka,17.02640371815025,51.10457133427023
Franciszka Ksawerego Druckiego-Lubeckiego,17.026560387272298,51.10454423658461
Łąkowa,17.028227184431884,51.10427970666142
Turystyczna,16.96522071206701,51.08424126691767
Harcerska,16.964790450000002,51.0838122
Michała Śniegockiego,16.967406369854064,51.08334009639483
Księdza Jana Dzierżonia,16.958601005425656,51.07993903974783
Karola Darwina,16.9663359,51.08220119999999
Sobótki,16.96886615,51.07517655
Mariana Morelowskiego,16.972077600717824,51.07461447694921
Seweryna Wysłoucha,16.9734834,51.0751109
Księdza Hieronima Feichta,16.97708726716825,51.07520804672313
Jutrzenki,16.979181099999998,51.0756819
Jemiołowa,17.00795265,51.09537835
Jantarowa,17.01115596721033,51.093542297470165
Oficerska,17.011061691836193,51.092992502422454
Łączności,17.012825987369784,51.09278019418292
Energetyczna,17.015724875246903,51.09203487382456
Buska,17.0037898,51.0911224
Słowicza,17.0093993,51.08976165000001
Podchorążych,17.011062784026635,51.089342565568444
Aleja Kasztanowa,17.0138093,51.08480065
Aleja Jaworowa,17.01259396200906,51.083334104537016
Jastrzębia,17.010588934186757,51.083949507037545
Wandy,17.0088239,51.08856265
Krakusa,17.010123989977266,51.08706901869264
Spadochroniarzy,17.011752673195925,51.08800267497233
Lwowska,17.01079579437537,51.0994603237198
Plac Icchaka Lejba Pereca,17.00733335,51.099064649999995
Ołowiana,17.004890250000003,51.098557850000006
Kłośna,17.004677210616737,51.09844243361342
Gwiaździsta,17.01953299816814,51.0956044521625
Stopnicka,17.00319335,51.0890524
Drukarska,17.019446720107208,51.08733648620449
tunel centralny,17.036472550700246,51.098581587154705
Peronowa,17.035799889338954,51.099795342356664
Skwerowa,17.03174615,51.09645729999999
Nasypowa,17.03058100720032,51.099539828535256
Pabianicka,17.026073953570723,51.093288674913026
Radosna,17.025888254549034,51.09332709430942
Świeradowska,17.03391675618074,51.07735678102365
Wieczysta,17.0351854,51.086297349999995
Przestrzenna,17.0339648013726,51.09007685907813
Jacka Kuronia,17.03500321834124,51.08625521800001
Trwała,17.024369343049013,51.093741317125556
Gwarna,17.038072396103075,51.10161227898725
Generała Jana Henryka Dąbrowskiego,17.04183583170636,51.1008521191636
Generała Karola Kniaziewicza,17.04226665155889,51.10182815641774
Zygmunta Krasińskiego,17.04224679115127,51.103386610400186
Stanisława Worcella,17.04268795,51.104723299999996
Szczytnicka,17.05033605,51.11383845
Kardynała Bolesława Kominka,17.05012875,51.11386375
Aleksandra Hercena,17.041143599999998,51.10209825
Józefa Marii Hoene-Wrońskiego,17.054605713732943,51.10928104622801
Benedykta Polaka,17.054611218787468,51.11010313742919
Piastowska,17.060889583546764,51.11588840042961
Grunwaldzka,17.0602503609,51.11365947566231
Stacyjna,16.9981874,51.11371335
Śrubowa,17.00116965,51.113031299999996
Fabryczna,16.988607100000003,51.112215000000006
Wagonowa,16.988816465939603,51.112472597179696
aleja Marcina Kromera,17.064160647648116,51.13201803963038
Jedności Narodowej,17.05533713196477,51.1287864292916
Elizy Orzeszkowej,17.0531729,51.1235851
Księdza Konstantego Damrota,17.05195475143383,51.12758060237151
Świętego Wincentego,17.03081534470737,51.12186996918083
Władysława Reymonta,17.027832615793756,51.12643433800938
Łowiecka,17.027920814278403,51.125806641126346
Józefa Ignacego Kraszewskiego,17.027664850184166,51.12879348872686
Bałtycka,17.03019135,51.13719115
Obornicka,17.0302524040516,51.13705549622072
Henryka Michała Kamieńskiego,17.032533,51.1401524
Żmigrodzka,17.03249904806046,51.14044556094678
Osobowicka,17.02621597907737,51.13307714075595
Serbska,17.02031599791845,51.13377975098562
Milenijna,16.98000668114348,51.12703903002286
Jana Nowaka-Jeziorańskiego,17.000766077849452,51.136988483313885
Na Polance,17.028336159599892,51.13292882834212
Długa,17.015868784216178,51.1186015622554
Piotra Czajkowskiego,17.0698143,51.1360019
aleja Jana III Sobieskiego,17.12694278368188,51.15259131100294
most Bolesława Krzywoustego,17.097869111275266,51.14295119406008
Kowalska,17.093843686544542,51.140872539313264
Olsztyńska,17.094765106913265,51.1396143299933
aleja Poprzeczna,17.081992399999997,51.14027695
Kuźnicza,17.0335572830975,51.11060284264118
Skwierzyńska,17.011542166009225,51.09710245835378
Owsiana,17.019250128483733,51.10096171985274
Plac Ludwika Hirszfelda,17.016079899568243,51.09485696597722
rondo Wielkiej Orkiestry Świątecznej Pomocy,16.97925079604263,51.055224312129326
Pionierska,16.98560945,51.09066355
Podróżnicza,16.98622781661913,51.09056568650816
Hubska,17.04283505438306,51.09330078406864
Prudnicka,17.045038773653243,51.089568185406065
Paczkowska,17.04702135,51.08987890000001
Cypriana Kamila Norwida,17.0629036,51.1104352
Zygmunta Janiszewskiego,17.06162325413599,51.10899716182312
Generała Ignacego Prądzyńskiego,17.049486394097297,51.09912145296805
Skwer Kazimierza Idaszewskiego,17.057306823902337,51.11045053016085
Oskara Minkowskiego,17.062410624364308,51.11561727727935
Plac Solny,17.02909275,51.10982015000001
Eugeniusza Gepperta,17.029614926373334,51.1084313388254
Karola Szajnochy,17.029591940125556,51.10847403839873
Plac Bohaterów Getta,17.02785789960355,51.10903597979014
Psie Budy,17.02786047032136,51.10915882956158
Rzeźnicza,17.02843615,51.1114563
Przejście Garncarskie,17.03219105,51.110262950000006
Zaułek Jerzego Grotowskiego,17.0321143,51.11033245
Przejście Żelaźnicze,17.03247046417563,51.11003693828439
Sukiennice,17.03148378041335,51.11006818903222
Rynek Ratusz,17.03179072540621,51.10987415609677
Aleksandra hrabiego Fredry,17.0356754620205,51.11455200109425
Malarska,17.030180700000003,51.11238445
Kiełbaśnicza,17.03015915,51.11240945
Przemysłowa,16.97531345068563,51.060838502830194
Wałbrzyska,16.977836500000002,51.06417405
Karmelkowa,16.97126135,51.06862759999999
Giełdowa,16.971131508765033,51.0685704390423
Bronisława Trentowskiego,16.9663018,51.07121705000001
Honoriusza Balzaka,16.96217379743454,51.07602308875013
Piękna,17.04889352073238,51.08496603747874
Jesionowa,17.049250370738733,51.08628821768469
Sernicka,17.0481683,51.08780955
Rondo Ronalda Reagana,17.05926491828578,51.11135944322589
Zygmunta Wróblewskiego,17.0880389,51.10405695
Karola Olszewskiego,17.1004357,51.1023929
Fryderyka Pautscha,17.10033961400943,51.10237246614387
Edwarda Wittiga,17.08350146782551,51.10418694975601
Antoniego Wiwulskiego,17.084866245969344,51.10192255561385
Piwna,17.05209775503582,51.11413815634564
Miła,17.05321810708822,51.11395162981724
Michała Wrocławczyka,17.0565753,51.111304950000005
Nauczycielska,17.057105130955527,51.11131685343819
